Category,climate change,ecosystem quality,ecosystem quality,ecosystem quality,ecosystem quality,ecosystem quality,human health,human health,human health,human health,human health,human health,resources,resources,resources,resources
Subcategory,climate change total,freshwater and terrestrial acidification,freshwater ecotoxicity,freshwater eutrophication,marine eutrophication,terrestrial eutrophication,carcinogenic effects,ionising radiation,non-carcinogenic effects,ozone layer depletion,photochemical ozone creation,"respiratory effects, inorganics",dissipated water,fossils,land use,minerals and metals
Unit,kg CO2-Eq,mol H+-Eq,CTU,kg P-Eq,kg N-Eq,mol N-Eq,CTUh,kg U235-Eq,CTUh,kg CFC-11.,kg NMVOC-.,disease i.,m3 water-.,megajoule,points,kg Sb-Eq
Name,,,,,,,,,,,,,,,,
without spacer,44.69521718918605,0.3689099162484135,12.997258246594889,0.0045842141502586585,0.08504481728066071,0.9893311555220442,4.6127751923590324e-07,5.620955827441505,1.9402408272413053e-06,4.501823315779375e-06,0.2337144207848297,3.6898948488617374e-06,10.312278939810072,578.4684060589332,200.39525514651473,0.0013457279750209838
composite with corrugated metal,46.37484087058568,0.374214481970773,14.132537402336062,0.004939318891668151,0.08628623016222668,1.0019696446703585,5.134464657966168e-07,6.85387597060301,2.100764968596618e-06,4.619150814499587e-06,0.2381705051345211,3.7396603688480966e-06,10.998868287901345,636.9879824938438,216.2405656809608,0.0014132706748484559
epdm foam,46.46454437056549,0.37532913352001146,14.6308381745966,0.00501705678747003,0.0864598640449652,1.0036497475089448,5.454708998505734e-07,6.881401925253556,2.178814371883636e-06,4.748776873782277e-06,0.23864679859122515,3.760637364542545e-06,11.254811192020007,629.1221265571178,219.38291347488232,0.0014844124305374623
single-seal aluminium,46.58675085649055,0.3773033620349508,16.819005995515955,0.005160694357074545,0.08702196868130957,1.007830669069603,7.24595227445769e-07,6.8972229583105875,2.2621815334430287e-06,4.747357313202837e-06,0.2392040489783877,3.775531112113793e-06,11.362300831353544,627.2497190842676,222.0553486693436,0.0014993830033516926
dual-seal aluminium,46.67070867344551,0.3777571313469972,16.886529794344003,0.005185618905480449,0.08710191880137423,1.0086712132361972,7.269975039834762e-07,6.908849717435554,2.2701954955408587e-06,4.766937140940227e-06,0.2395861593248963,3.781345009031555e-06,11.418427993006743,629.7064593593583,222.74828033599042,0.0015307121456974461
dual-seal steel,46.67899183171282,0.37775502593326227,17.130501994284238,0.005187694801836877,0.08711786664541527,1.0088564239318116,7.460182344789449e-07,6.90427258381908,2.2683146918301897e-06,4.768011376071094e-06,0.23966718222394434,3.7819036573667045e-06,11.471399235179357,629.7487560720486,222.99767415927732,0.0015309116109890539
thermally broken aluminium,46.83558084477565,0.378513636673808,16.89485860535961,0.005265948037706261,0.0872251879545418,1.0098786468839456,7.251641106604061e-07,6.954439691207667,2.273390872404471e-06,4.77862473174972e-06,0.2402395272281291,3.7875540141217066e-06,11.493604125334784,633.9085480662036,223.5436642297895,0.0015598951474674614
thermoplastic PIB,46.92841746525447,0.3779506213342642,14.959353846710943,0.005198907164330655,0.08709266599101667,1.0092445072929859,5.594510850217089e-07,6.943107321041793,2.2420132102847027e-06,5.147571609260344e-06,0.2399221749102579,3.778144701335599e-06,12.512534774354345,635.9310200523264,224.85236584480143,0.001447030213019956
slicone foam,48.14927332420057,0.38321471453780004,15.420215206638431,0.005511707016046005,0.08817048276393843,1.0195615115008902,5.656050364918451e-07,7.054294198713987,2.3131381119761307e-06,5.61366226373582e-06,0.24363746181162077,3.825854071220836e-06,14.25215833966813,658.6127849572341,233.42208335578025,0.0014707780289519537
dual-seal composite plastic,58.581822611396156,0.438360407031064,19.516826969454605,0.009439652162952904,0.09720260171078168,1.1118617930738275,6.913148143552525e-07,7.989854405712853,3.1449298885369174e-06,5.5761386809701225e-06,0.27005609738688624,4.287529966989454e-06,15.589607277194611,809.8074105797273,299.19848266907746,0.001512331250822303
